Person,Day,Role,Value,Name,Assignment,y
10,8,6,0.0,Member 10,Meeting speaker 2,0
10,8,7,0.0,Member 10,Meeting speaker 3,0
10,8,8,0.0,Member 10,meeting speaker 4,0
10,8,9,0.0,Member 10,Speech Evaluator 1,0
10,9,1,0.0,Member 10,Ah Counter,0
10,9,10,0.0,Member 10,Speech Evaluator 2,0
10,9,11,0.0,Member 10,Speech Evaluator 3,0
10,9,12,0.0,Member 10,Speech Evaluator 4,0
10,9,13,0.0,Member 10,General evaluator,0
10,9,14,0.0,Member 10,Table topic master,0
10,9,15,0.0,Member 10,Table topic evalauator 1,0
10,9,16,0.0,Member 10,Table topic evalauator 2,0
10,9,17,0.0,Member 10,Harkmaster,0
10,9,2,1.0,Member 10,Grammarian,2
10,9,3,0.0,Member 10,Timer,0
10,9,4,0.0,Member 10,Toastmaster,0
10,9,5,0.0,Member 10,Meeting speaker 1,0
10,9,6,0.0,Member 10,Meeting speaker 2,0
10,9,7,0.0,Member 10,Meeting speaker 3,0
10,9,8,0.0,Member 10,meeting speaker 4,0
10,9,9,0.0,Member 10,Speech Evaluator 1,0
11,10,1,0.0,Member 11,Ah Counter,0
11,10,10,0.0,Member 11,Speech Evaluator 2,0
11,10,11,0.0,Member 11,Speech Evaluator 3,0
11,10,12,0.0,Member 11,Speech Evaluator 4,0
11,10,13,0.0,Member 11,General evaluator,0
11,10,14,0.0,Member 11,Table topic master,0
11,10,15,0.0,Member 11,Table topic evalauator 1,0
11,10,16,0.0,Member 11,Table topic evalauator 2,0
11,10,17,0.0,Member 11,Harkmaster,0
11,10,2,0.0,Member 11,Grammarian,0
11,10,3,0.0,Member 11,Timer,0
11,10,4,0.0,Member 11,Toastmaster,0
11,10,5,0.0,Member 11,Meeting speaker 1,0
11,10,6,0.0,Member 11,Meeting speaker 2,0
11,10,7,0.0,Member 11,Meeting speaker 3,0
11,10,8,0.0,Member 11,meeting speaker 4,0
11,10,9,0.0,Member 11,Speech Evaluator 1,0
11,11,1,0.0,Member 11,Ah Counter,0
11,11,10,0.0,Member 11,Speech Evaluator 2,0
11,11,11,0.0,Member 11,Speech Evaluator 3,0
11,11,12,0.0,Member 11,Speech Evaluator 4,0
11,11,13,0.0,Member 11,General evaluator,0
11,11,14,0.0,Member 11,Table topic master,0
11,11,15,0.0,Member 11,Table topic evalauator 1,0
11,11,16,0.0,Member 11,Table topic evalauator 2,0
11,11,17,0.0,Member 11,Harkmaster,0
11,11,2,0.0,Member 11,Grammarian,0
11,11,3,0.0,Member 11,Timer,0
11,11,4,0.0,Member 11,Toastmaster,0
11,11,5,0.0,Member 11,Meeting speaker 1,0
11,11,6,0.0,Member 11,Meeting speaker 2,0
11,11,7,0.0,Member 11,Meeting speaker 3,0
11,11,8,0.0,Member 11,meeting speaker 4,0
11,11,9,0.0,Member 11,Speech Evaluator 1,0
11,12,1,0.0,Member 11,Ah Counter,0
11,12,10,0.0,Member 11,Speech Evaluator 2,0
11,12,11,1.0,Member 11,Speech Evaluator 3,11
11,12,12,0.0,Member 11,Speech Evaluator 4,0
11,12,13,0.0,Member 11,General evaluator,0
11,12,14,0.0,Member 11,Table topic master,0
11,12,15,0.0,Member 11,Table topic evalauator 1,0
11,12,16,0.0,Member 11,Table topic evalauator 2,0
11,12,17,0.0,Member 11,Harkmaster,0
11,12,2,0.0,Member 11,Grammarian,0
11,12,3,0.0,Member 11,Timer,0
11,12,4,0.0,Member 11,Toastmaster,0
11,12,5,0.0,Member 11,Meeting speaker 1,0
11,12,6,0.0,Member 11,Meeting speaker 2,0
11,12,7,0.0,Member 11,Meeting speaker 3,0
11,12,8,0.0,Member 11,meeting speaker 4,0
11,12,9,0.0,Member 11,Speech Evaluator 1,0
11,13,1,0.0,Member 11,Ah Counter,0
11,13,10,0.0,Member 11,Speech Evaluator 2,0
11,13,11,0.0,Member 11,Speech Evaluator 3,0
11,13,12,0.0,Member 11,Speech Evaluator 4,0
11,13,13,0.0,Member 11,General evaluator,0
11,13,14,0.0,Member 11,Table topic master,0
11,13,15,0.0,Member 11,Table topic evalauator 1,0
11,13,16,0.0,Member 11,Table topic evalauator 2,0
11,13,17,0.0,Member 11,Harkmaster,0
11,13,2,0.0,Member 11,Grammarian,0
11,13,3,0.0,Member 11,Timer,0
11,13,4,0.0,Member 11,Toastmaster,0
11,13,5,0.0,Member 11,Meeting speaker 1,0
11,13,6,0.0,Member 11,Meeting speaker 2,0
11,13,7,0.0,Member 11,Meeting speaker 3,0
11,13,8,0.0,Member 11,meeting speaker 4,0
11,13,9,0.0,Member 11,Speech Evaluator 1,0
